        n    z      alpha(keV)
957    44   24      -1.66E+4 8
958    44   24      -1.66E+4 8
959    44   24      -1.66E+4 8
960    44   24      -1.66E+4 8
961    45   24            0 0
962    46   24            0 0
963    40   24      -1.40E+4 4
964    40   24      -1.40E+4 4
965    41   24      -1.44E+4 4
966    41   24      -1.44E+4 4
967    41   24      -1.44E+4 4
968    17   24        -7.E+2 5
969    18   24       -6.7E+3 4
970    18   24       -6.7E+3 4
971    19   24       -6.9E+3 3
972    19   24       -6.9E+3 3
973    19   24       -6.9E+3 3
974    19   24       -6.9E+3 3
975    28   24     10505.37 10
976    29   24     11133.56 16
977    20   24      -6.85E+3 9
978    20   24      -6.85E+3 9
979    21   24      -6.24E+3 5
980    21   24      -6.24E+3 5
981    22   24        -6792 11
982    23   24         -7672 8
983    24   24         -7698 7
984    25   24      -8747.0 24
985    26   24      -8558.01 8
986    27   24     -8938.02 15
987    44   25      -1.57E+4 6
988    44   25      -1.57E+4 6
989    44   25      -1.57E+4 6
990    44   25      -1.57E+4 6
991    43   25      -1.50E+4 5
992    43   25      -1.50E+4 5
993    43   25      -1.50E+4 5
994    46   25      -1.73E+4 8
995    46   25      -1.73E+4 8
996    46   25      -1.73E+4 8
997    45   25      -1.66E+4 7
998    45   25      -1.66E+4 7
999    45   25      -1.66E+4 7
1000   45   25      -1.66E+4 7
1001   48   25            0 0
1002   47   25            0 0
1003   40   25    -1.322E+4 23
1004   40   25    -1.322E+4 23
1005   42   25      -1.43E+4 4
1006   42   25      -1.43E+4 4
1007   42   25      -1.43E+4 4
1008   41   25      -1.40E+4 3
1009   41   25      -1.40E+4 3
1010   41   25      -1.40E+4 3
1011   29   25      -8759.9 10
1012   29   25      -8759.9 10
1013   22   25      -7.07E+3 5
1014   22   25      -7.07E+3 5
1015   21   25     -7.22E+3 21
1016   21   25     -7.22E+3 21
1017   24   25      -8158.4 24
1018   23   25        -7913 10
1019   23   25        -7913 10
1020   23   25        -7913 10
1021   26   25       -8661.1 3
1022   25   25     -7975.91 14
1023   25   25     -7975.91 14
1024   28   25       -9153.1 9
1025   27   25      -8658.3 10
1026   27   25      -8658.3 10
1027   27   25      -8658.3 10
1028   20   25       -1.2E+3 3
1029   33   25        -8354 12
1030   33   25        -8354 12
1031   33   25        -8354 12
1032   32   25         -8060 3
1033   35   25     -9.21E+3 18
1034   35   25     -9.21E+3 18
1035   35   25     -9.21E+3 18
1036   34   25      -8.83E+3 3
1037   37   25    -1.052E+4 10
1038   37   25    -1.052E+4 10
1039   37   25    -1.052E+4 10
1040   37   25    -1.052E+4 10
1041   36   25      -9.73E+3 8
1042   36   25      -9.73E+3 8
1043   39   25    -1.233E+4 18
1044   39   25    -1.233E+4 18
1045   39   25    -1.233E+4 18
1046   38   25    -1.170E+4 14
1047   38   25    -1.170E+4 14
1048   31   25       -7893.6 3
1049   30   25        8066.1 3
1050   19   25       -7.4E+3 4
1051   19   25       -7.4E+3 4
1052   18   25       -3.0E+3 5
1053   34   26         -8553 3
1054   33   26       -7979.5 4
1055   36   26         -9311 4
1056   35   26         -8820 3
1057   38   26        -10486 5
1058   37   26         -9945 4
1059   39   26        -11146 5
1060   39   26        -11146 5
1061   39   26        -11146 5
1062   39   26        -11146 5
1063   30   26     10183.59 16
1064   32   26      11958.0 15
1065   31   26     10559.32 21
1066   45   26      -1.51E+4 6
1067   45   26      -1.51E+4 6
1068   45   26      -1.51E+4 6
1069   44   26      -1.42E+4 4
1070   44   26      -1.42E+4 4
1071   44   26      -1.42E+4 4
1072   47   26      -1.68E+4 7
1073   47   26      -1.68E+4 7
1074   47   26      -1.68E+4 7
1075   46   26      -1.60E+4 7
1076   46   26      -1.60E+4 7
1077   46   26      -1.60E+4 7
1078   49   26            0 0
1079   49   26            0 0
1080   49   26            0 0
1081   49   26            0 0
1082   48   26      -1.74E+4 8
1083   48   26      -1.74E+4 8
1084   48   26      -1.74E+4 8
1085   41   26     -1.196E+4 7
1086   41   26     -1.196E+4 7
1087   40   26        -11640 5
1088   40   26        -11640 5
1089   43   26      -1.33E+4 3
1090   43   26      -1.33E+4 3
1091   43   26      -1.33E+4 3
1092   42   26      -1.27E+4 4
1093   42   26      -1.27E+4 4
1094   19   26       -8.4E+3 5
1095   19   26       -8.4E+3 5
1096   19   26       -8.4E+3 5
1097   19   26       -8.4E+3 5
1098   19   26       -8.4E+3 5
1099   23   26      -7.66E+3 4
1100   23   26      -7.66E+3 4
1101   22   26     -7.01E+3 11
1102   22   26     -7.01E+3 11
1103   25   26         -8051 5
1104   24   26        -7430 14
1105   24   26        -7430 14
1106   27   26         -8040 3
1107   27   26         -8040 3
1108   26   26         -7936 7
1109   26   26         -7936 7
1110   26   26         -7936 7
1111   29   26       -8455.6 3
1112   28   26        8853.2 5
1113   21   26       -7.6E+3 5
1114   21   26       -7.6E+3 5
1115   21   26       -7.6E+3 5
1116   20   26       -8.3E+3 4
1117   20   26       -8.3E+3 4
1118   50   26            0 0
1119   47   27      -1.55E+4 6
1120   47   27      -1.55E+4 6
1121   47   27      -1.55E+4 6
1122   47   27      -1.55E+4 6
1123   48   27      -1.64E+4 6
1124   48   27      -1.64E+4 6
1125   48   27      -1.64E+4 6
1126   48   27      -1.64E+4 6
1127   45   27      -1.38E+4 4
1128   45   27      -1.38E+4 4
1129   45   27      -1.38E+4 4
1130   46   27      -1.50E+4 5
1131   46   27      -1.50E+4 5
1132   46   27      -1.50E+4 5
1133   46   27      -1.50E+4 5
1134   49   27      -1.69E+4 8
1135   49   27      -1.69E+4 8
1136   49   27      -1.69E+4 8
1137   49   27      -1.69E+4 8
1138   40   27        -10860 7
1139   40   27        -10860 7
1140   40   27        -10860 7
1141   40   27        -10860 7
1142   43   27       -12199 16
1143   43   27       -12199 16
1144   43   27       -12199 16
1145   43   27       -12199 16
1146   43   27       -12199 16
1147   43   27       -12199 16
1148   44   27      -1.32E+4 5
1149   44   27      -1.32E+4 5
1150   41   27        -11078 5
1151   41   27        -11078 5
1152   41   27        -11078 5
1153   41   27        -11078 5
1154   42   27     -1.184E+4 9
1155   42   27     -1.184E+4 9
1156   42   27     -1.184E+4 9
1157   42   27     -1.184E+4 9
1158   50   27      -1.76E+4 8
1159   50   27      -1.76E+4 8
1160   50   27      -1.76E+4 8
1161   50   27      -1.76E+4 8
1162   51   27            0 0
1163   25   27         -7472 9
1164   26   27         -7464 3
1165   26   27         -7464 3
1166   26   27         -7464 3
1167   23   27     -7.60E+3 15
1168   23   27     -7.60E+3 15
1169   23   27     -7.60E+3 15
1170   24   27      -7.20E+3 6
1171   29   27       -7754.0 5
1172   27   27       -7808.1 4
1173   27   27       -7808.1 4
1174   28   27       -8211.7 5
1175   21   27       -1.6E+3 7
1176   22   27        -9.E+2 5
1177   20   27       -2.1E+3 7
1178   36   27        -8751 19
1179   37   27        -9249 20
1180   34   27      -7836.8 17
1181   35   27        -8022 19
1182   35   27        -8022 19
1183   35   27        -8022 19
1184   38   27         -9868 3
1185   39   27       -10309 15
1186   39   27       -10309 15
1187   32   27        7363.5 4
1188   33   27       -7163.7 4
1189   33   27       -7163.7 4
1190   33   27       -7163.7 4
1191   30   27       -7080.2 6
1192   31   27      -6714.0 15
1193   51   28      -1.59E+4 8
1194   51   28      -1.59E+4 8
1195   51   28      -1.59E+4 8
1196   52   28      -1.51E+4 8
1197   52   28      -1.51E+4 8
1198   52   28      -1.51E+4 8
1199   52   28      -1.51E+4 8
1200   50   28      -1.66E+4 6
1201   50   28      -1.66E+4 6
1202   53   28            0 0
1203   54   28            0 0
1204   37   28         -8630 3
1205   38   28         -9553 3
1206   35   28       -7272.8 4
1207   36   28        12536 19
1208   39   28        -10532 5
1209   30   28        8172.2 4
1210   33   28      9860.56 22
1211   34   28       11137.2 7
1212   31   28       -6100.3 3
1213   32   28      9532.38 20
1214   48   28      -1.54E+4 6
1215   48   28      -1.54E+4 6
1216   49   28      -1.58E+4 6
1217   49   28      -1.58E+4 6
1218   49   28      -1.58E+4 6
1219   46   28      -1.42E+4 4
1220   46   28      -1.42E+4 4
1221   47   28      -1.47E+4 4
1222   47   28      -1.47E+4 4
1223   40   28        -10919 6
1224   40   28        -10919 6
1225   41   28        -11186 6
1226   41   28        -11186 6
1227   41   28        -11186 6
1228   41   28        -11186 6
1229   44   28    -1.275E+4 19
1230   44   28    -1.275E+4 19
1231   45   28    -1.333E+4 20
1232   45   28    -1.333E+4 20
1233   42   28        -11571 5
1234   43   28        -12123 4
1235   43   28        -12123 4
1236   26   28        -7227 10
1237   27   28      -7571.7 16
1238   24   28     -6.98E+3 12
1239   24   28     -6.98E+3 12
1240   25   28      -7.31E+3 3
1241   25   28      -7.31E+3 3
1242   28   28       -8000.5 4
1243   29   28      -7561.4 17
1244   22   28       -7.1E+3 6
1245   22   28       -7.1E+3 6
1246   22   28       -7.1E+3 6
1247   23   28       -6.9E+3 7
1248   23   28       -6.9E+3 7
1249   20   28            0 0
1250   20   28            0 0
1251   21   28       -8.3E+3 7
1252   21   28       -8.3E+3 7
1253   28   29      -7074.6 18
1254   27   29         -6711 8
1255   27   29         -6711 8
1256   26   29     -6.72E+3 16
1257   26   29     -6.72E+3 16
1258   25   29       -6.1E+3 4
1259   29   29       -6082.7 6
1260   24   29       -5.8E+3 7
1261   24   29       -5.8E+3 7
1262   23   29       -6.0E+3 8
1263   39   29        -8200 20
1264   39   29        -8200 20
1265   39   29        -8200 20
1266   38   29        -7893 19
1267   37   29        -7259 19
1268   36   29        7453.6 7
1269   31   29      -4729.7 16
1270   30   29       -4753.4 5
1271   35   29       -6198.9 4
1272   35   29       -6198.9 4
1273   34   29       6122.40 6
1274   33   29      -5365.2 12
1275   32   29      -5063.3 10
1276   49   29      -1.37E+4 4
1277   49   29      -1.37E+4 4
1278   48   29      -1.33E+4 3
1279   48   29      -1.33E+4 3
1280   47   29      -1.31E+4 3
1281   47   29      -1.31E+4 3
1282   47   29      -1.31E+4 3
1283   42   29         -9814 7
1284   41   29        -8993 14
1285   41   29        -8993 14
1286   41   29        -8993 14
1287   41   29        -8993 14
1288   41   29        -8993 14
1289   40   29         -8976 3
1290   46   29      -1.25E+4 5
1291   46   29      -1.25E+4 5
1292   45   29       -11906 13
1293   44   29     -1.103E+4 9
1294   43   29        -10565 4
1295   53   29      -1.28E+4 8
1296   53   29      -1.28E+4 8
1297   53   29      -1.28E+4 8
1298   52   29      -1.24E+4 7
1299   52   29      -1.24E+4 7
1300   52   29      -1.24E+4 7
1301   51   29      -1.34E+4 6
1302   50   29      -1.43E+4 4
1303   50   29      -1.43E+4 4
1304   55   29            0 0
1305   54   29       1.70E+4 9
1306   28   30      -5.45E+3 5
1307   28   30      -5.45E+3 5
1308   27   30     -5.34E+3 20
1309   27   30     -5.34E+3 20
1310   29   30      -4304.6 10
1311   29   30      -4304.6 10
1312   24   30       -4.7E+3 5
1313   26   30       -5.3E+3 4
1314   26   30       -5.3E+3 4
1315   25   30       -5.0E+3 6
1316   25   30       -5.0E+3 6
1317   53   30      -1.06E+4 6
1318   53   30      -1.06E+4 6
1319   52   30       -9.9E+3 4
1320   55   30      -1.14E+4 9
1321   55   30      -1.14E+4 9
1322   55   30      -1.14E+4 9
1323   54   30      -1.10E+4 7
1324   54   30      -1.10E+4 7
1325   54   30      -1.10E+4 7
1326   51   30      -1.13E+4 4
1327   51   30      -1.13E+4 4
1328   50   30      -1.19E+4 3
1329   50   30      -1.19E+4 3
1330   56   30            0 0
1331   42   30         -7107 4
1332   41   30         -6011 4
1333   41   30         -6011 4
1334   41   30         -6011 4
1335   44   30         -8968 3
1336   43   30         -8040 4
1337   43   30         -8040 4
1338   43   30         -8040 4
1339   43   30         -8040 4
1340   40   30      -5983.4 24
1341   49   30    -1.162E+4 20
1342   49   30    -1.162E+4 20
1343   46   30        -10502 3
1344   45   30         -9578 3
1345   48   30    -1.121E+4 20
1346   47   30        -11106 3
1347   47   30        -11106 3
1348   47   30        -11106 3
1349   31   30        -2690 16
1350   31   30        -2690 16
1351   31   30        -2690 16
1352   31   30        -2690 16
1353   30   30       -2691.7 5
1354   33   30      -3481.5 16
1355   32   30       -3364.1 5
1356   39   30       -5717.0 8
1357   39   30       -5717.0 8
1358   39   30       -5717.0 8
1359   38   30        9976.6 9
1360   35   30       -4114.9 7
1361   34   30       -3955.7 7
1362   37   30        8911.1 9
1363   36   30        8924.5 9
1364   54   31      -1.03E+4 3
1365   54   31      -1.03E+4 3
1366   53   31       -9.8E+3 3
1367   53   31       -9.8E+3 3
1368   53   31       -9.8E+3 3
1369   53   31       -9.8E+3 3
1370   56   31      -1.09E+4 7
1371   56   31      -1.09E+4 7
1372   56   31      -1.09E+4 7
1373   55   31      -1.05E+4 6
1374   55   31      -1.05E+4 6
1375   55   31      -1.05E+4 6
1376   50   31        -11190 3
1377   50   31        -11190 3
1378   52   31     -9.27E+3 11
1379   52   31     -9.27E+3 11
1380   51   31       -10566 14
1381   51   31       -10566 14
1382   57   31            0 0
1383   43   31         -7498 3
1384   43   31         -7498 3
1385   43   31         -7498 3
1386   42   31      -6388.0 22
1387   45   31      -8938.6 24
1388   44   31      -8174.4 16
1389   41   31      -5446.2 18
1390   40   31       7863.3 21
1391   47   31        -10123 6
1392   46   31         -9430 3
1393   49   31        -10667 3
1394   49   31        -10667 3
1395   48   31     -10503.1 14
1396   48   31     -10503.1 14
1397   32   31      -2613.6 14
1398   31   31       -2744.1 7
1399   31   31       -2744.1 7
1400   34   31       -3098.3 9
1401   33   31      -2912.5 21
1402   30   31      -2.25E+3 4
1403   30   31      -2.25E+3 4
1404   39   31      -5076.8 14
1405   39   31      -5076.8 14
1406   36   31      -3724.2 12
1407   35   31      -3361.1 12
1408   38   31       6609.6 14
1409   37   31      -4086.6 14
1410   29   31     -3.39E+3 20
1411   29   31     -3.39E+3 20
1412   29   31     -3.39E+3 20
1413   28   31     -4.55E+3 23
1414   25   31       -4.4E+3 8
1415   27   31       -4.7E+3 5
1416   26   31       -4.7E+3 6
1417   45   32      -8044.4 19
1418   45   32      -8044.4 19
1419   45   32      -8044.4 19
1420   46   32         -8530 4
1421   43   32         -6953 3
1422   43   32         -6953 3
1423   43   32         -6953 3
1424   44   32       12041.2 7
1425   41   32        9998.2 8
1426   41   32       -5304.5 8
1427   42   32      11012.1 17
1428   40   32        9735.8 8
1429   49   32         -9927 3
1430   49   32         -9927 3
1431   47   32      -9.39E+3 4
1432   47   32      -9.39E+3 4
1433   47   32      -9.39E+3 4
1434   48   32         -9657 3
1435   34   32      -2863.9 25
1436   35   32         -2885 5
1437   32   32         -2566 4
1438   33   32        -2554 16
1439   33   32        -2554 16
1440   30   32     -2.27E+3 15
1441   30   32     -2.27E+3 15
1442   31   32      -2.13E+3 4
1443   38   32       8523.2 14
1444   39   32      -4451.2 10
1445   39   32      -4451.2 10
1446   36   32      -3399.7 20
1447   37   32      -3613.6 15
1448   29   32       -3.7E+3 4
1449   29   32       -3.7E+3 4
1450   27   32       -4.5E+3 6
1451   27   32       -4.5E+3 6
1452   28   32       -4.6E+3 5
1453   28   32       -4.6E+3 5
