        n    z      alpha(keV)
593    34   17      -1.69E+4 9
594    34   17      -1.69E+4 9
595    30   17      -1.70E+4 4
596    30   17      -1.70E+4 4
597    30   17      -1.70E+4 4
598    17   17      -6664.15 8
599    17   17      -6664.15 8
600    17   17      -6664.15 8
601    18   17       6370.81 4
602    19   17      -7642.05 5
603    19   17      -7642.05 5
604    13   17     -8.72E+3 20
605    14   17        -8800 10
606    14   17        -8800 10
607    15   17      -8611.8 13
608    15   17      -8611.8 13
609    15   17      -8611.8 13
610    16   17       -6475.4 5
611    11   17       -8.2E+3 7
612    12   17       -8.6E+3 4
613    36   18            0 0
614    32   18      -1.63E+4 6
615    32   18      -1.63E+4 6
616    32   18      -1.63E+4 6
617    33   18      -1.61E+4 6
618    33   18      -1.61E+4 6
619    33   18      -1.61E+4 6
620    33   18      -1.61E+4 6
621    34   18      -1.62E+4 8
622    34   18      -1.62E+4 8
623    34   18      -1.62E+4 8
624    34   18      -1.62E+4 8
625    35   18      -1.60E+4 9
626    35   18      -1.60E+4 9
627    35   18      -1.60E+4 9
628    35   18      -1.60E+4 9
629    30   18       -15576 18
630    30   18       -15576 18
631    31   18      -1.61E+4 5
632    31   18      -1.61E+4 5
633    31   18      -1.61E+4 5
634    18   18       8506.98 4
635    19   18     -6786.74 21
636    14   18     -8.70E+3 16
637    14   18     -8.70E+3 16
638    15   18        -8715 13
639    15   18        -8715 13
640    16   18     -6743.95 22
641    17   18       -6429.7 7
642    11   18       -2.4E+3 4
643    12   18       -8.0E+3 6
644    13   18       -8.6E+3 4
645    13   18       -8.6E+3 4
646    13   18       -8.6E+3 4
647    13   18       -8.6E+3 4
648    13   18       -8.6E+3 4
649    13   18       -8.6E+3 4
650    29   18        -15597 5
651    29   18        -15597 5
652    25   18     -1.127E+4 5
653    26   18        -12260 4
654    27   18        -13187 4
655    28   18        -14558 4
656    21   18         -6821 5
657    22   18      12528.7 17
658    23   18       -8596.0 4
659    24   18         -9986 9
660    20   18     10242.25 20
661    40   19            0 0
662    27   19     -1.301E+4 6
663    26   19     -1.173E+4 7
664    29   19     -1.423E+4 9
665    29   19     -1.423E+4 9
666    28   19     -1.398E+4 6
667    23   19     -7648.83 14
668    22   19      7808.620 3
669    25   19     -1.065E+4 3
670    24   19      -9200.1 18
671    21   19      -6438.40 7
672    21   19      -6438.40 7
673    20   19      6381.34 20
674    38   19            0 0
675    37   19      -1.68E+4 9
676    37   19      -1.68E+4 9
677    37   19      -1.68E+4 9
678    37   19      -1.68E+4 9
679    39   19            0 0
680    34   19      -1.55E+4 4
681    34   19      -1.55E+4 4
682    34   19      -1.55E+4 4
683    34   19      -1.55E+4 4
684    33   19      -1.53E+4 5
685    33   19      -1.53E+4 5
686    33   19      -1.53E+4 5
687    33   19      -1.53E+4 5
688    36   19      -1.62E+4 9
689    36   19      -1.62E+4 9
690    36   19      -1.62E+4 9
691    36   19      -1.62E+4 9
692    35   19      -1.53E+4 6
693    35   19      -1.53E+4 6
694    35   19      -1.53E+4 6
695    35   19      -1.53E+4 6
696    30   19    -1.377E+4 14
697    30   19    -1.377E+4 14
698    32   19    -1.536E+4 20
699    32   19    -1.536E+4 20
700    32   19    -1.536E+4 20
701    31   19    -1.442E+4 10
702    31   19    -1.442E+4 10
703    31   19    -1.442E+4 10
704    19   19     -6785.59 20
705    19   19     -6785.59 20
706    19   19     -6785.59 20
707    16   19         -6563 3
708    16   19         -6563 3
709    15   19     -8.32E+3 20
710    18   19       -6221.8 4
711    17   19       -6507.4 6
712    17   19       -6507.4 6
713    17   19       -6507.4 6
714    12   19       -4.9E+3 3
715    14   19       -8.9E+3 3
716    13   19       -8.7E+3 6
717    39   20       2.34E+4 9
718    38   20      -1.65E+4 9
719    38   20      -1.65E+4 9
720    38   20      -1.65E+4 9
721    38   20      -1.65E+4 9
722    37   20      -1.58E+4 8
723    37   20      -1.58E+4 8
724    37   20      -1.58E+4 8
725    37   20      -1.58E+4 8
726    36   20      -1.46E+4 7
727    36   20      -1.46E+4 7
728    36   20      -1.46E+4 7
729    36   20      -1.46E+4 7
730    35   20      -1.46E+4 4
731    35   20      -1.46E+4 4
732    35   20      -1.46E+4 4
733    34   20      -1.44E+4 5
734    34   20      -1.44E+4 5
735    33   20      -1.48E+4 4
736    33   20      -1.48E+4 4
737    32   20       -14336 17
738    32   20       -14336 17
739    31   20     -13390.0 13
740    31   20     -13390.0 13
741    30   20        -12243 3
742    41   20            0 0
743    40   20      2.50E+4 11
744    19   20       -6660.3 9
745    18   20     -6105.13 21
746    17   20       -6176.7 8
747    17   20       -6176.7 8
748    16   20      -6.68E+3 4
749    16   20      -6.68E+3 4
750    15   20       -8.6E+3 3
751    15   20       -8.6E+3 3
752    15   20       -8.6E+3 3
753    14   20       -9.6E+3 3
754    13   20       -1.8E+3 6
755    29   20      -13954.1 5
756    28   20     -13976.5 16
757    27   20        -12760 6
758    26   20        -11142 6
759    25   20      -10169.6 5
760    24   20       12182.3 5
761    23   20       10675.8 3
762    22   20     10276.72 15
763    21   20     -6615.15 25
764    20   20      -7039.78 3
765    29   21        -11548 3
766    29   21        -11548 3
767    29   21        -11548 3
768    28   21     -12371.7 23
769    27   21        -11148 5
770    26   21     -10186.4 20
771    25   21       -9164.5 7
772    25   21       -9164.5 7
773    24   21        6892.6 7
774    24   21       -7937.7 7
775    23   21      -6705.5 18
776    23   21      -6705.5 18
777    23   21      -6705.5 18
778    22   21      -4805.9 19
779    21   21     -5745.16 25
780    21   21     -5745.16 25
781    20   21     -6267.07 12
782    39   21      -1.50E+4 8
783    39   21      -1.50E+4 8
784    39   21      -1.50E+4 8
785    39   21      -1.50E+4 8
786    38   21      -1.37E+4 6
787    38   21      -1.37E+4 6
788    38   21      -1.37E+4 6
789    38   21      -1.37E+4 6
790    37   21      -1.28E+4 4
791    37   21      -1.28E+4 4
792    37   21      -1.28E+4 4
793    37   21      -1.28E+4 4
794    36   21    -1.151E+4 21
795    36   21    -1.151E+4 21
796    36   21    -1.151E+4 21
797    36   21    -1.151E+4 21
798    35   21      -1.08E+4 3
799    35   21      -1.08E+4 3
800    35   21      -1.08E+4 3
801    35   21      -1.08E+4 3
802    35   21      -1.08E+4 3
803    34   21     -1.075E+4 6
804    34   21     -1.075E+4 6
805    34   21     -1.075E+4 6
806    33   21       -11135 16
807    33   21       -11135 16
808    32   21       -11583 18
809    32   21       -11583 18
810    31   21        -10664 3
811    31   21        -10664 3
812    30   21         -9963 3
813    30   21         -9963 3
814    19   21         -5531 3
815    19   21         -5531 3
816    19   21         -5531 3
817    18   21        -5425 24
818    17   21       -5.5E+3 3
819    16   21       -6.2E+3 4
820    15   21       -8.3E+3 5
821    14   21       -4.9E+3 5
822    42   21            0 0
823    41   21      1.90E+4 10
824    40   21      -1.61E+4 8
825    40   21      -1.61E+4 8
826    40   21      -1.61E+4 8
827    40   21      -1.61E+4 8
828    39   22      -1.22E+4 5
829    39   22      -1.22E+4 5
830    39   22      -1.22E+4 5
831    39   22      -1.22E+4 5
832    38   22      -1.10E+4 3
833    38   22      -1.10E+4 3
834    38   22      -1.10E+4 3
835    37   22       -9.7E+3 3
836    37   22       -9.7E+3 3
837    37   22       -9.7E+3 3
838    36   22     -8.18E+3 19
839    36   22     -8.18E+3 19
840    35   22     -7.44E+3 21
841    35   22     -7.44E+3 21
842    34   22     -7.58E+3 10
843    34   22     -7.58E+3 10
844    33   22      -7.93E+3 3
845    32   22        -8579 16
846    31   22         -8006 3
847    30   22         -7678 3
848    43   22            0 0
849    42   22       2.18E+4 9
850    41   22      -1.41E+4 8
851    41   22      -1.41E+4 8
852    41   22      -1.41E+4 8
853    41   22      -1.41E+4 8
854    40   22      -1.31E+4 6
855    40   22      -1.31E+4 6
856    40   22      -1.31E+4 6
857    40   22      -1.31E+4 6
858    19   22      -4.99E+3 3
859    19   22      -4.99E+3 3
860    18   22      -4.97E+3 8
861    18   22      -4.97E+3 8
862    17   22       -5.1E+3 3
863    17   22       -5.1E+3 3
864    16   22            0 AP
865    15   22       -1.7E+3 5
866    29   22      -9813.2 23
867    28   22      12158.4 23
868    27   22         11349 5
869    26   22      11445.1 19
870    25   22       10464.9 7
871    24   22       10344.9 7
872    23   22       -6297.3 8
873    22   22       -5127.1 7
874    21   22         -4458 6
875    20   22       -5470.8 3
876    41   23      -1.42E+4 6
877    41   23      -1.42E+4 6
878    41   23      -1.42E+4 6
879    41   23      -1.42E+4 6
880    42   23      -1.50E+4 8
881    42   23      -1.50E+4 8
882    42   23      -1.50E+4 8
883    42   23      -1.50E+4 8
884    43   23      -1.60E+4 8
885    43   23      -1.60E+4 8
886    43   23      -1.60E+4 8
887    43   23      -1.60E+4 8
888    44   23            0 0
889    40   23      -1.33E+4 4
890    40   23      -1.33E+4 4
891    40   23      -1.33E+4 4
892    40   23      -1.33E+4 4
893    27   23       -9886.5 7
894    27   23       -9886.5 7
895    28   23       8060.21 7
896    29   23         -9364 5
897    20   23      -6.17E+3 5
898    21   23         -5710 8
899    21   23         -5710 8
900    21   23         -5710 8
901    22   23       -5669.0 9
902    23   23     -7379.81 20
903    23   23     -7379.81 20
904    24   23      -8243.8 19
905    25   23      -9086.9 20
906    26   23      -9314.8 11
907    38   23      -1.12E+4 3
908    38   23      -1.12E+4 3
909    38   23      -1.12E+4 3
910    39   23      -1.22E+4 3
911    39   23      -1.22E+4 3
912    39   23      -1.22E+4 3
913    30   23         -7714 4
914    31   23        -7786 11
915    31   23        -7786 11
916    32   23      -8.30E+3 3
917    33   23     -8.08E+3 18
918    33   23     -8.08E+3 18
919    34   23      -8.09E+3 9
920    34   23      -8.09E+3 9
921    35   23     -8.42E+3 10
922    35   23     -8.42E+3 10
923    36   23     -9.19E+3 15
924    36   23     -9.19E+3 15
925    37   23      -1.00E+4 3
926    37   23      -1.00E+4 3
927    37   23      -1.00E+4 3
928    37   23      -1.00E+4 3
929    37   23      -1.00E+4 3
930    37   23      -1.00E+4 3
931    37   23      -1.00E+4 3
932    16   23       -3.9E+3 5
933    17   23       -6.1E+3 4
934    18   23       -5.9E+3 4
935    19   23       -5.8E+3 3
936    39   24      -1.27E+4 3
937    39   24      -1.27E+4 3
938    31   24       -7802.3 5
939    32   24         -8232 3
940    33   24         -8068 3
941    34   24        -8673 16
942    35   24      -8.71E+3 3
943    36   24     -9.91E+3 10
944    36   24     -9.91E+3 10
945    37   24    -1.052E+4 21
946    37   24    -1.052E+4 21
947    38   24    -1.236E+4 18
948    38   24    -1.236E+4 18
949    30   24         12373 3
950    42   24      -1.54E+4 5
951    42   24      -1.54E+4 5
952    42   24      -1.54E+4 5
953    43   24      -1.58E+4 6
954    43   24      -1.58E+4 6
955    43   24      -1.58E+4 6
956    43   24      -1.58E+4 6
