n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
60 53 2707.0 10.0 6.6
61 53 2386.0 21.0 2.1
61 53 2386.0 21.0 2.1
61 53 2386.0 21.0 2.1
61 53 2386.0 21.0 2.1
66 53 800.0 3.0 1146.0
67 53 650.0 16.0 4896.0
67 53 650.0 16.0 4896.0
64 53 1550.0 3.0 133.20000000000002
65 53 1100.0 3.0 822.0
65 53 1100.0 3.0 822.0
65 53 1100.0 3.0 822.0
68 53 -31.0 10.0 7632.0
69 53 -508.0 6.0 217.79999999999998
70 53 -892.0 8.0 47604.6
73 53 -2001.0 4.0 1117152.0
73 53 -2001.0 4.0 1117152.0
74 53 6208.0 4.0 -1.0
71 53 -1372.0 8.0 360806.4
72 53 -1661.8 21.0 5132764.8
77 53 -2970.0 3.0 44496.0
77 53 -2970.0 3.0 44496.0
77 53 -2970.0 3.0 44496.0
78 53 -3169.0 5.0 693377.28
75 53 -2544.0 4.0 1499.3999999999999
75 53 -2544.0 4.0 1499.3999999999999
76 53 -2677.0 4.0 495454320000000.0
79 53 -3499.0 19.0 8262.0
79 53 -3499.0 19.0 8262.0
79 53 -3499.0 19.0 8262.0
80 53 -3653.0 22.0 74988.0
80 53 -3653.0 22.0 74988.0
81 53 -4183.0 15.0 3150.0
81 53 -4183.0 15.0 3150.0
81 53 -4183.0 15.0 3150.0
84 53 142.0 9.0 24.5
84 53 142.0 9.0 24.5
85 53 -386.0 7.0 6.23
85 53 -386.0 7.0 6.23
82 53 -4223.0 3.0 23688.0
83 53 -2335.0 14.0 83.4
83 53 -2335.0 14.0 83.4
88 53 -2290.0 5.0 0.43
88 53 -2290.0 5.0 0.43
89 53 -2600.0 3.0 0.222
89 53 -2600.0 3.0 0.222
86 53 -1206.0 5.0 2.28
86 53 -1206.0 5.0 2.28
87 53 -1524.0 13.0 0.86
87 53 -1524.0 13.0 0.86
91 53 -3400.0 7.0 -1
92 53 -4000.0 7.0 -1
92 53 -4000.0 7.0 -1
90 53 -3200.0 4.0 0.13
93 53 12800.0 4.0 -1
94 53 0.0 0.0 -1
71 54 -1080.0 3.0 60839.99999999999
71 54 -1080.0 3.0 60839.99999999999
70 54 -730.2 11.0 5.049216e+21
75 54 8247.0 4.0 -1.0
75 54 -2099.2 14.0 -1.0
74 54 8166.0 4.0 -1.0
73 54 -1575.0 4.0 3140294.4
73 54 -1575.0 4.0 3140294.4
72 54 7599.3 14.0 -1.0
79 54 -3064.0 3.0 453383.99999999994
79 54 -3064.0 3.0 453383.99999999994
78 54 9125.2 6.0 -1.0
78 54 -2710.1 7.0 -1.0
77 54 8766.0 3.0 -1.0
77 54 -2558.0 14.0 -1.0
76 54 8662.0 3.0 -1.0
82 54 -3666.0 3.0 -1
81 54 -3627.0 4.0 32904.0
81 54 -3627.0 4.0 32904.0
81 54 -3627.0 4.0 32904.0
80 54 -3197.791 10.0 -1
80 54 -3197.791 10.0 -1
86 54 -986.0 3.0 13.6
85 54 -341.0 3.0 39.68
84 54 137.0 4.0 848.4000000000001
83 54 -1871.2 21.0 229.08
89 54 -2423.0 6.0 0.511
89 54 -2423.0 6.0 0.511
88 54 -1959.0 5.0 1.23
88 54 -1959.0 5.0 1.23
87 54 -1318.0 4.0 1.73
87 54 -1318.0 4.0 1.73
93 54 -4300.0 5.0 0.1
93 54 -4300.0 5.0 0.1
92 54 -3800.0 5.0 0.146
92 54 -3800.0 5.0 0.146
91 54 -3200.0 4.0 0.188
91 54 -3200.0 4.0 0.188
90 54 -2930.0 15.0 0.388
90 54 -2930.0 15.0 0.388
96 54 0.0 0.0 -1
95 54 0.0 0.0 -1
94 54 -4900.0 4.0 -1
94 54 -4900.0 4.0 -1
57 54 3710.0 6.0 0.81
57 54 3710.0 6.0 0.81
56 54 3872.0 9.0 0.093
56 54 3872.0 9.0 0.093
56 54 3872.0 9.0 0.093
55 54 4217.0 7.0 0.013000000000000001
54 54 500.0 5.0 -1
59 54 3087.0 8.0 2.74
59 54 3087.0 8.0 2.74
59 54 3087.0 8.0 2.74
59 54 3087.0 8.0 2.74
58 54 3330.0 6.0 2.7
58 54 3330.0 6.0 2.7
60 54 2719.0 13.0 10.0
64 54 1390.0 3.0 228.0
63 54 1740.0 3.0 61.0
63 54 1740.0 3.0 61.0
62 54 2096.0 15.0 59.0
61 54 2506.0 14.0 18.0
61 54 2506.0 14.0 18.0
61 54 2506.0 14.0 18.0
68 54 -89.0 21.0 72360.0
67 54 190.0 17.0 2406.0
66 54 670.0 3.0 2400.0
65 54 840.0 3.0 348.0
69 54 -491.0 12.0 7488.0
58 55 3483.0 8.0 1.77e-05
57 55 3930.0 6.0 0.00049
57 55 3930.0 6.0 0.00049
56 55 -1730.0 22.0 -1
59 55 3360.0 6.0 0.57
59 55 3360.0 6.0 0.57
59 55 3360.0 6.0 0.57
59 55 3360.0 6.0 0.57
61 55 2600.0 10.0 0.7
61 55 2600.0 10.0 0.7
61 55 2600.0 10.0 0.7
61 55 2600.0 10.0 0.7
61 55 2600.0 10.0 0.7
61 55 2600.0 10.0 0.7
60 55 2830.0 10.0 1.4
60 55 2830.0 10.0 1.4
65 55 1110.0 8.0 61.3
65 55 1110.0 8.0 61.3
65 55 1110.0 8.0 61.3
65 55 1110.0 8.0 61.3
64 55 1610.0 3.0 43.0
64 55 1610.0 3.0 43.0
63 55 1805.0 24.0 14.0
63 55 1805.0 24.0 14.0
63 55 1805.0 24.0 14.0
63 55 1805.0 24.0 14.0
63 55 1805.0 24.0 14.0
63 55 1805.0 24.0 14.0
62 55 2200.0 6.0 8.4
62 55 2200.0 6.0 8.4
69 55 -419.0 18.0 30.9
69 55 -419.0 18.0 30.9
68 55 309.0 25.0 352.8
68 55 309.0 25.0 352.8
67 55 400.0 4.0 21.18
67 55 400.0 4.0 21.18
67 55 400.0 4.0 21.18
66 55 910.0 3.0 155.0
66 55 910.0 3.0 155.0
66 55 910.0 3.0 155.0
72 55 -722.0 7.0 22500.0
71 55 -696.0 12.0 98.39999999999999
70 55 -269.0 9.0 2802.0
70 55 -269.0 9.0 2802.0
76 55 -1497.0 4.0 837129.6
75 55 -1414.0 9.0 1752.6000000000001
75 55 -1414.0 9.0 1752.6000000000001
75 55 -1414.0 9.0 1752.6000000000001
75 55 -1414.0 9.0 1752.6000000000001
74 55 -1088.0 5.0 115416.00000000001
74 55 -1088.0 5.0 115416.00000000001
73 55 -992.0 6.0 219.60000000000002
79 55 -2380.0 3.0 65172755.519999996
79 55 -2380.0 3.0 65172755.519999996
79 55 -2380.0 3.0 65172755.519999996
78 55 6080.94 7.0 -1.0
77 55 -1840.0 4.0 559872.0
77 55 -1840.0 4.0 559872.0
83 55 -1269.0 10.0 2004.6
83 55 -1269.0 10.0 2004.6
83 55 -1269.0 10.0 2004.6
82 55 -3113.0 6.0 949252608.0
81 55 -3060.0 4.0 1126656.0
81 55 -3060.0 4.0 1126656.0
81 55 -3060.0 4.0 1126656.0
80 55 -2564.1 7.0 72582480000000.0
80 55 -2564.1 7.0 72582480000000.0
87 55 -960.0 9.0 1.684
87 55 -960.0 9.0 1.684
86 55 -546.0 12.0 24.84
86 55 -546.0 12.0 24.84
85 55 71.0 16.0 63.7
84 55 653.0 4.0 556.1999999999999
89 55 -2090.0 23.0 0.994
89 55 -2090.0 23.0 0.994
89 55 -2090.0 23.0 0.994
88 55 -1629.0 9.0 1.791
88 55 -1629.0 9.0 1.791
90 55 -2553.0 18.0 0.587
90 55 -2553.0 18.0 0.587
94 55 -4600.0 6.0 -1
94 55 -4600.0 6.0 -1
93 55 -4000.0 4.0 0.146
93 55 -4000.0 4.0 0.146
92 55 -3550.0 20.0 0.23
92 55 -3550.0 20.0 0.23
91 55 -2932.0 6.0 0.322
91 55 -2932.0 6.0 0.322
97 55 0.0 0.0 -1
96 55 -5500.0 6.0 -1
96 55 -5500.0 6.0 -1
95 55 -5100.0 5.0 -1
95 55 -5100.0 5.0 -1
92 56 -3098.0 6.0 0.612
92 56 -3098.0 6.0 0.612
93 56 -3762.0 11.0 0.344
93 56 -3762.0 11.0 0.344
94 56 -4360.0 25.0 0.3
94 56 -4360.0 25.0 0.3
95 56 -5000.0 4.0 -1
95 56 -5000.0 4.0 -1
90 56 -2062.0 3.0 2.22
91 56 -2486.0 20.0 0.894
91 56 -2486.0 20.0 0.894
96 56 -5400.0 5.0 -1
96 56 -5400.0 5.0 -1
97 56 -5900.0 5.0 -1
98 56 0.0 0.0 -1
56 56 0.0 0.0 -1
57 56 600.0 3.0 -1
58 56 3592.0 19.0 0.43
58 56 3592.0 19.0 0.43
58 56 3592.0 19.0 0.43
58 56 3592.0 19.0 0.43
59 56 3180.0 23.0 0.45
59 56 3180.0 23.0 0.45
60 56 3220.0 20.0 1.3
60 56 3220.0 20.0 1.3
61 56 2300.0 3.0 1.75
61 56 2300.0 3.0 1.75
61 56 2300.0 3.0 1.75
62 56 2460.0 20.0 5.5
62 56 2460.0 20.0 5.5
67 56 715.0 16.0 162.0
68 56 658.0 17.0 660.0
69 56 387.0 15.0 198.0
63 56 1640.0 20.0 5.4
63 56 1640.0 20.0 5.4
64 56 1700.0 3.0 24.0
65 56 1020.0 14.0 29.7
66 56 1050.0 3.0 117.0
70 56 260.0 17.0 6000.0
71 56 0.0 nan 762.0
71 56 0.0 nan 762.0
72 56 -126.7 21.0 209952.0
73 56 -286.0 11.0 8028.0
73 56 -286.0 11.0 8028.0
73 56 -286.0 11.0 8028.0
78 56 8168.0 3.0 -1.0
79 56 8248.46 25.0 -1.0
79 56 -1862.0 25.0 -1.0
74 56 -535.3 3.0 -1.0
74 56 -535.3 3.0 -1.0
75 56 -783.0 4.0 993600.0
75 56 -783.0 4.0 993600.0
76 56 -999.3 11.0 -1
77 56 -1282.4 10.0 332964237.6
77 56 -1282.4 10.0 332964237.6
77 56 -1282.4 10.0 332964237.6
81 56 8671.5 19.0 -1.0
81 56 -2502.7 24.0 -1.0
82 56 9005.0 18.0 -1.0
83 56 -925.0 4.0 4983.6
84 56 736.0 8.0 1101833.28
80 56 8594.1 3.0 -1.0
80 56 -2033.02 24.0 -1.0
89 56 -1744.0 9.0 4.31
85 56 226.0 5.0 1096.2
86 56 -295.0 7.0 636.0
87 56 -718.0 7.0 14.5
88 56 -1206.0 8.0 11.5
60 57 3070.0 20.0 0.0235
60 57 3070.0 20.0 0.0235
60 57 3070.0 20.0 0.0235
60 57 3070.0 20.0 0.0235
61 57 2600.0 3.0 -1
62 57 2300.0 3.0 -1
63 57 2000.0 3.0 2.8
63 57 2000.0 3.0 2.8
68 57 920.0 3.0 64.8
68 57 1960.0 3.0 64.8
69 57 750.0 10.0 54.0
69 57 750.0 10.0 54.0
69 57 750.0 10.0 54.0
64 57 1900.0 3.0 5.3
65 57 1400.0 3.0 8.6
65 57 1400.0 3.0 8.6
66 57 1230.0 20.0 17.0
67 57 1210.0 6.0 29.21
67 57 1210.0 6.0 29.21
71 57 690.0 6.0 310.79999999999995
71 57 690.0 6.0 310.79999999999995
72 57 341.0 23.0 696.0
72 57 341.0 23.0 696.0
73 57 300.0 3.0 522.0
74 57 50.0 3.0 3540.0
70 57 720.0 3.0 306.0
70 57 720.0 3.0 306.0
70 57 720.0 3.0 306.0
79 57 -1310.0 5.0 592.1999999999999
79 57 -1310.0 5.0 592.1999999999999
75 57 -220.0 4.0 17280.0
75 57 -220.0 4.0 17280.0
75 57 -220.0 4.0 17280.0
76 57 -420.0 3.0 14083.199999999999
77 57 -744.0 22.0 387.0
78 57 -1013.0 9.0 70200.0
82 57 6249.5 7.0 -1.0
83 57 -398.1 20.0 145026.72
84 57 1191.0 4.0 14112.0
85 57 438.0 11.0 5466.0
80 57 -1494.8 16.0 1893456000000.0
81 57 -2047.2 4.0 3.2188752e+18
81 57 -2047.2 4.0 3.2188752e+18
86 57 105.0 8.0 852.0
87 57 -225.0 15.0 40.8
88 57 -783.0 15.0 24.8
89 57 -1132.0 7.0 6.27
89 57 -1132.0 7.0 6.27
93 57 -3426.0 4.0 0.59
93 57 -3426.0 4.0 0.59
94 57 -3800.0 4.0 -1
94 57 -3800.0 4.0 -1
95 57 -4800.0 3.0 -1
96 57 -5200.0 5.0 -1
90 57 -1428.0 13.0 4.06
90 57 -1428.0 13.0 4.06
91 57 -1860.0 3.0 1.26
91 57 -1860.0 3.0 1.26
92 57 -2590.0 20.0 1.05
92 57 -2590.0 20.0 1.05
97 57 -5800.0 5.0 -1
98 57 -6100.0 6.0 -1
99 57 0.0 0.0 -1
59 57 -1600.0 4.0 -1
100 57 0.0 0.0 -1
100 58 14800.0 5.0 -1
101 58 0.0 0.0 -1
61 58 2700.0 5.0 -1
62 58 2200.0 5.0 -1
63 58 2300.0 5.0 1.1
63 58 2300.0 5.0 1.1
64 58 1900.0 4.0 -1
64 58 1900.0 4.0 -1
69 58 1250.0 3.0 34.0
69 58 1250.0 3.0 34.0
65 58 1900.0 4.0 3.8
65 58 1900.0 4.0 3.8
66 58 1500.0 4.0 6.0
67 58 1660.0 24.0 9.7
67 58 1660.0 24.0 9.7
68 58 1360.0 4.0 51.0
72 58 820.0 3.0 1374.0
73 58 680.0 3.0 618.0
73 58 680.0 3.0 618.0
73 58 680.0 3.0 618.0
74 58 476.0 20.0 12636.0
74 58 476.0 20.0 12636.0
75 58 218.0 19.0 5820.0
75 58 218.0 19.0 5820.0
75 58 218.0 19.0 5820.0
70 58 1130.0 3.0 235.8
71 58 960.0 3.0 210.0
76 58 0.0 nan 273024.0
77 58 -362.0 10.0 63720.0
77 58 -362.0 10.0 63720.0
78 58 -498.6 11.0 -1
79 58 -790.2 11.0 32400.0
79 58 -790.2 11.0 32400.0
79 58 -790.2 11.0 32400.0
83 58 -134.6 13.0 2808950.4000000004
84 58 1304.0 25.0 -1
85 58 882.6 25.0 118940.40000000001
86 58 411.0 8.0 24616224.000000004
80 58 -1040.8 5.0 2.840184e+21
80 58 -1040.8 5.0 2.840184e+21
81 58 -1532.0 21.0 11892182.399999999
81 58 -1532.0 21.0 11892182.399999999
82 58 8140.8 13.0 -1.0
87 58 240.0 3.0 180.6
88 58 -209.0 16.0 809.4
89 58 -502.0 11.0 56.4
94 58 -3860.0 20.0 1.4
95 58 -4500.0 20.0 -1
96 58 -4750.0 20.0 -1
97 58 -5300.0 5.0 -1
90 58 -1056.0 13.0 56.8
91 58 -1579.0 13.0 5.3
92 58 -2406.0 12.0 4.0
93 58 -3390.0 3.0 1.76
93 58 -3390.0 3.0 1.76
98 58 -5600.0 5.0 -1
99 58 -5900.0 6.0 -1
100 59 -5300.0 6.0 -1
101 59 12100.0 6.0 -1
102 59 0.0 0.0 -1
85 59 1137.0 3.0 1036.8000000000002
85 59 1137.0 3.0 1036.8000000000002
85 59 1137.0 3.0 1036.8000000000002
84 59 1729.3 19.0 1172448.0
87 59 930.0 3.0 1449.0
86 59 879.0 8.0 21542.4
81 59 -1070.0 5.0 203.4
80 59 -610.0 10.0 15876.0
83 59 302.1 16.0 68832.0
83 59 302.1 16.0 68832.0
83 59 302.1 16.0 68832.0
82 59 5229.3 12.0 -1.0
89 59 -111.0 20.0 137.4
89 59 -111.0 20.0 137.4
89 59 -111.0 20.0 137.4
88 59 302.0 17.0 804.0
90 59 -629.0 16.0 135.6
96 59 -4500.0 4.0 -1
95 59 -3970.0 10.0 2.3
98 59 -4800.0 3.0 -1
97 59 -4600.0 3.0 -1
92 59 -2526.0 16.0 18.9
91 59 -1504.0 9.0 6.19
94 59 -3770.0 20.0 4.28
93 59 -3470.0 3.0 3.57
99 59 -5000.0 4.0 -1
63 59 2400.0 6.0 0.5
62 59 2300.0 5.0 0.01
65 59 2000.0 5.0 1.2
65 59 2000.0 5.0 1.2
64 59 2400.0 5.0 0.8
67 59 1800.0 4.0 3.14
67 59 1800.0 4.0 3.14
66 59 1700.0 4.0 3.3
66 59 1700.0 4.0 3.3
69 59 1500.0 6.0 2.85
68 59 1700.0 3.0 4.2
74 59 961.0 25.0 390.0
74 59 961.0 25.0 390.0
73 59 970.0 6.0 96.0
76 59 410.0 3.0 1440.0
75 59 670.0 3.0 660.0
75 59 670.0 3.0 660.0
70 59 1560.0 4.0 30.0
72 59 1170.0 5.0 90.6
72 59 1170.0 5.0 90.6
72 59 1170.0 5.0 90.6
71 59 1370.0 11.0 40.0
71 59 1370.0 11.0 40.0
71 59 1370.0 11.0 40.0
78 59 -130.0 3.0 4608.0
77 59 -40.0 4.0 786.0
79 59 -335.0 22.0 87.0
79 59 -335.0 22.0 87.0
103 60 0.0 0.0 -1
101 60 -4700.0 6.0 -1
101 60 -4700.0 6.0 -1
102 60 13800.0 6.0 -1
100 60 -4300.0 3.0 -1
100 60 -4300.0 3.0 -1
74 60 1350.0 3.0 510.0
73 60 1530.0 5.0 70.0
73 60 1530.0 5.0 70.0
73 60 1530.0 5.0 70.0
72 60 1680.0 4.0 94.0
71 60 1790.0 4.0 25.4
71 60 1790.0 4.0 25.4
70 60 1800.0 4.0 21.0
79 60 170.0 3.0 1782.0
79 60 170.0 3.0 1782.0
79 60 170.0 3.0 1782.0
78 60 391.0 23.0 18144.0
77 60 409.0 20.0 2310.0
77 60 409.0 20.0 2310.0
76 60 844.0 24.0 3039.0
75 60 1070.0 4.0 744.0
75 60 1070.0 4.0 744.0
75 60 1070.0 4.0 744.0
85 60 7970.4 24.0 -1.0
84 60 1901.3 15.0 7.2266904e+22
83 60 7504.9 14.0 -1.0
82 60 7224.5 14.0 -1.0
81 60 -698.0 3.0 8964.0
81 60 -698.0 3.0 8964.0
81 60 -698.0 3.0 8964.0
80 60 -174.0 3.0 291168.0
80 60 -174.0 3.0 291168.0
89 60 270.0 3.0 6220.8
88 60 9253.0 16.0 -1.0
87 60 1034.7 22.0 948672.0
86 60 8589.0 7.0 -1.0
96 60 -3650.0 20.0 5.06
95 60 -3484.0 20.0 8.9
94 60 -3158.0 12.0 25.9
93 60 -3085.0 11.0 31.6
92 60 -2180.0 3.0 684.0
91 60 -1354.0 9.0 746.4
90 60 -479.0 15.0 2.8717416e+26
99 60 -4400.0 3.0 -1
99 60 -4400.0 3.0 -1
98 60 -4040.0 20.0 -1
97 60 -4010.0 20.0 -1
69 60 1900.0 3.0 6.7
69 60 1900.0 3.0 6.7
69 60 1900.0 3.0 6.7
69 60 1900.0 3.0 6.7
69 60 1900.0 3.0 6.7
68 60 2000.0 4.0 5.0
68 60 2000.0 4.0 5.0
67 60 2000.0 4.0 1.8
67 60 2000.0 4.0 1.8
66 60 2100.0 5.0 -1
66 60 2100.0 5.0 -1
65 60 2200.0 6.0 0.65
65 60 2200.0 6.0 0.65
64 60 2500.0 7.0 -1
69 61 2400.0 3.0 2.6
69 61 2400.0 3.0 2.6
68 61 2500.0 4.0 2.4
68 61 2500.0 4.0 2.4
68 61 2500.0 4.0 2.4
67 61 2500.0 5.0 1.0
67 61 2500.0 5.0 1.0
67 61 2500.0 5.0 1.0
66 61 2500.0 6.0 -1
66 61 2500.0 6.0 -1
65 61 2600.0 7.0 -1
75 61 1630.0 7.0 107.0
75 61 1630.0 7.0 107.0
74 61 1810.0 10.0 49.0
74 61 1810.0 10.0 49.0
73 61 1990.0 8.0 5.0
73 61 1990.0 8.0 5.0
72 61 1940.0 6.0 13.5
72 61 1940.0 6.0 13.5
72 61 1940.0 6.0 13.5
71 61 2280.0 15.0 6.2
71 61 2280.0 15.0 6.2
70 61 2300.0 3.0 6.3
79 61 700.0 3.0 9.2
79 61 700.0 3.0 9.2
78 61 1010.0 18.0 249.00000000000003
78 61 1010.0 18.0 249.00000000000003
78 61 1010.0 18.0 249.00000000000003
77 61 1189.0 23.0 10.0
77 61 1189.0 23.0 10.0
76 61 1440.0 18.0 144.0
86 61 1601.3 15.0 82788207.84
85 61 1907.0 4.0 174513528.0
85 61 1907.0 4.0 174513528.0
84 61 2322.0 3.0 558569520.0
84 61 2322.0 3.0 558569520.0
83 61 845.0 7.0 31363200.0
82 61 -557.0 5.0 22896000.0
81 61 -440.0 3.0 40.5
81 61 -440.0 3.0 40.5
80 61 254.0 16.0 1254.0
89 61 650.0 4.0 9712.8
88 61 1137.0 7.0 191088.0
87 61 1460.0 6.0 463795.2
87 61 1460.0 6.0 463795.2
87 61 1460.0 6.0 463795.2
97 61 -3670.0 10.0 4.8
96 61 -3154.0 14.0 10.56
95 61 -2834.0 19.0 26.7
94 61 -2585.0 13.0 41.5
93 61 -2390.0 3.0 160.8
93 61 -2390.0 3.0 160.8
92 61 -2034.0 13.0 315.0
91 61 -1140.0 3.0 247.20000000000002
91 61 -1140.0 3.0 247.20000000000002
91 61 -1140.0 3.0 247.20000000000002
91 61 -1140.0 3.0 247.20000000000002
90 61 -367.0 16.0 102240.0
99 61 -3870.2 23.0 -1
99 61 -3870.2 23.0 -1
98 61 -3564.0 20.0 1.5
104 61 0.0 0.0 -1
100 61 -4077.0 10.0 -1
100 61 -4077.0 10.0 -1
101 61 -4300.0 4.0 -1
101 61 -4300.0 4.0 -1
102 61 -4600.0 6.0 -1
102 61 -4600.0 6.0 -1
103 61 11600.0 6.0 -1
66 62 3300.0 7.0 -1
66 62 3300.0 7.0 -1
67 62 3300.0 6.0 0.55
67 62 3300.0 6.0 0.55
68 62 3300.0 5.0 -1
69 62 3200.0 5.0 1.2
69 62 3200.0 5.0 1.2
77 62 1408.0 22.0 154.2
77 62 1408.0 22.0 154.2
77 62 1408.0 22.0 154.2
78 62 1318.0 17.0 889.2
79 62 1225.0 15.0 612.0
79 62 1225.0 15.0 612.0
79 62 1225.0 15.0 612.0
70 62 3000.0 4.0 4.0
70 62 3000.0 4.0 4.0
71 62 2700.0 4.0 2.89
71 62 2700.0 4.0 2.89
71 62 2700.0 4.0 2.89
71 62 2700.0 4.0 2.89
71 62 2700.0 4.0 2.89
72 62 2800.0 20.0 9.5
73 62 2490.0 16.0 10.3
73 62 2490.0 16.0 10.3
74 62 2190.0 3.0 47.0
75 62 1920.0 5.0 45.0
76 62 1724.0 17.0 186.0
88 62 8275.9 19.0 -1.0
89 62 1145.4 10.0 2840184000.0
80 62 610.0 12.0 4349.4
81 62 70.0 3.0 525.0
81 62 70.0 3.0 525.0
81 62 70.0 3.0 525.0
81 62 70.0 3.0 525.0
82 62 6294.0 3.0 -1.0
83 62 1115.0 3.0 29376000.0
84 62 2529.0 3.0 3250432800000000.0
85 62 2311.3 5.0 3.3451056e+18
86 62 1987.0 4.0 2.209032e+23
87 62 7559.0 6.0 -1.0
102 62 -3630.0 5.0 -1
102 62 -3630.0 5.0 -1
101 62 -3300.0 3.0 -1
100 62 -2969.0 4.0 2.4
106 62 0.0 0.0 -1
105 62 0.0 0.0 -1
104 62 13100.0 6.0 -1
103 62 -3700.0 6.0 -1
103 62 -3700.0 6.0 -1
99 62 -2603.0 7.0 4.8
90 62 8666.0 5.0 -1.0
91 62 -609.4 19.0 166622.4
91 62 -609.4 19.0 166622.4
92 62 9097.0 9.0 -1.0
93 62 -1672.9 11.0 1338.0
94 62 -1640.0 3.0 33840.0
95 62 -1772.0 5.0 481.79999999999995
96 62 -2097.0 5.0 318.0
97 62 -2349.0 11.0 11.37
98 62 -2456.0 24.0 9.6
107 63 0.0 0.0 -1
106 63 11300.0 6.0 -1
101 63 -2762.0 3.0 4.2
100 63 -2444.0 10.0 7.7
103 63 -3100.0 3.0 1.7
103 63 -3100.0 3.0 1.7
102 63 -3067.0 10.0 2.3
105 63 -3300.0 6.0 -1
105 63 -3300.0 6.0 -1
104 63 -3200.0 6.0 -1
104 63 -3200.0 6.0 -1
67 63 3800.0 7.0 0.0009000000000000001
68 63 3400.0 6.0 0.0178
68 63 3400.0 6.0 0.0178
69 63 3600.0 5.0 -1
69 63 3600.0 5.0 -1
78 63 1722.0 18.0 40.7
78 63 1722.0 18.0 40.7
78 63 1722.0 18.0 40.7
79 63 1180.0 3.0 2.34
79 63 1180.0 3.0 2.34
70 63 3500.0 4.0 -1
71 63 3200.0 4.0 0.5
71 63 3200.0 4.0 0.5
72 63 3200.0 3.0 1.5
72 63 3200.0 3.0 1.5
73 63 2960.0 25.0 3.3
73 63 2960.0 25.0 3.3
73 63 2960.0 25.0 3.3
73 63 2960.0 25.0 3.3
74 63 2840.0 5.0 11.0
75 63 2590.0 5.0 12.1
76 63 2240.0 8.0 17.9
77 63 1760.0 9.0 1.51
77 63 1760.0 9.0 1.51
77 63 1760.0 9.0 1.51
89 63 1552.0 6.0 426564079.2
89 63 1552.0 6.0 426564079.2
89 63 1552.0 6.0 426564079.2
89 63 1552.0 6.0 426564079.2
89 63 1552.0 6.0 426564079.2
80 63 835.0 17.0 155.39999999999998
81 63 170.0 3.0 10.2
82 63 106.0 14.0 512352.0
83 63 1599.0 24.0 398304.0
84 63 2991.0 3.0 2082240.0000000002
84 63 2991.0 3.0 2082240.0000000002
85 63 2694.0 10.0 4708800.0
85 63 2694.0 10.0 4708800.0
85 63 2694.0 10.0 4708800.0
86 63 2401.0 5.0 8043839.999999999
87 63 2237.0 7.0 1164475440.0
87 63 2237.0 7.0 1164475440.0
87 63 2237.0 7.0 1164475440.0
87 63 2237.0 7.0 1164475440.0
88 63 1964.0 11.0 5.364792e+25
90 63 5893.5 7.0 -1.0
91 63 -566.0 20.0 271426917.6
91 63 -566.0 20.0 271426917.6
91 63 -566.0 20.0 271426917.6
92 63 -857.0 5.0 149993272.8
93 63 -1250.0 3.0 1312416.0
94 63 -1236.0 10.0 54648.0
95 63 -1430.0 3.0 2754.0
96 63 -1528.0 6.0 1086.0
97 63 -1751.5 15.0 38.0
98 63 -1919.0 13.0 26.0
99 63 -2041.7 16.0 10.6
69 64 1100.0 6.0 -1
79 64 1720.0 20.0 39.0
79 64 1720.0 20.0 39.0
70 64 3700.0 6.0 -1
72 64 3600.0 4.0 2.0000000000000002e-07
71 64 3600.0 6.0 1.1
71 64 3600.0 6.0 1.1
74 64 3300.0 3.0 4.7
73 64 3600.0 4.0 2.2
73 64 3600.0 4.0 2.2
76 64 2600.0 3.0 15.8
75 64 2800.0 25.0 5.8
75 64 2800.0 25.0 5.8
75 64 2800.0 25.0 5.8
75 64 2800.0 25.0 5.8
78 64 2110.0 3.0 70.2
77 64 2340.0 3.0 14.0
77 64 2340.0 3.0 14.0
77 64 2340.0 3.0 14.0
77 64 2340.0 3.0 14.0
81 64 582.0 21.0 1380.0
81 64 582.0 21.0 1380.0
81 64 582.0 21.0 1380.0
80 64 1270.0 3.0 268.2
83 64 1735.3 20.0 137016.0
82 64 471.0 4.0 4170528.0000000005
85 64 3099.0 3.0 801792.0
85 64 3099.0 3.0 801792.0
84 64 3271.29 3.0 2243745360.0
87 64 2652.0 3.0 10704960.0
87 64 2652.0 3.0 10704960.0
86 64 2807.0 6.0 56488104000000.0
89 64 1828.0 7.0 20770560.0
88 64 2203.8 10.0 3.4082208e+21
90 64 7627.9 7.0 -1.0
92 64 8006.0 9.0 -1.0
91 64 7620.9 8.0 -1.0
91 64 81.3 7.0 -1.0
94 64 8520.0 4.0 -1.0
93 64 8030.0 3.0 -1.0
96 64 -1006.0 9.0 -1
95 64 -795.6 9.0 66524.4
98 64 -1454.0 6.0 504.0
97 64 -1253.0 5.0 219.60000000000002
99 64 -1606.0 6.0 68.0
104 64 -2600.0 3.0 -1
103 64 -2601.0 9.0 -1
102 64 -2417.0 4.0 4.8
102 64 -2417.0 4.0 4.8
101 64 -2279.0 7.0 10.3
100 64 -1885.4 22.0 45.0
108 64 0.0 0.0 -1
107 64 12600.0 7.0 -1
106 64 -2800.0 6.0 -1
105 64 -2800.0 6.0 -1
101 65 -1510.7 20.0 25.1
100 65 -1222.0 11.0 126.6
103 65 -1974.0 5.0 8.2
102 65 -1734.2 21.0 19.4
109 65 0.0 0.0 -1
108 65 10800.0 6.0 -1
105 65 -2400.0 3.0 -1
