n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
26 13 -18800.0 7.0 0.0076
27 13 -19500.0 8.0 -1
27 13 -19500.0 8.0 -1
27 13 -19500.0 8.0 -1
27 13 -19500.0 8.0 -1
24 13 -16400.0 5.0 0.0107
24 13 -16400.0 5.0 0.0107
24 13 -16400.0 5.0 0.0107
24 13 -16400.0 5.0 0.0107
25 13 -17600.0 6.0 0.0076
25 13 -17600.0 6.0 0.0076
25 13 -17600.0 6.0 0.0076
25 13 -17600.0 6.0 0.0076
28 13 -21000.0 8.0 -1
28 13 -21000.0 8.0 -1
28 13 -21000.0 8.0 -1
28 13 -21000.0 8.0 -1
29 13 -22300.0 9.0 -1
29 13 -22300.0 9.0 -1
29 13 -22300.0 9.0 -1
29 13 -22300.0 9.0 -1
30 13 -24100.0 10.0 -1
30 13 -24100.0 10.0 -1
30 13 -24100.0 10.0 -1
30 13 -24100.0 10.0 -1
11 13 -9324.2 11.0 2.053
11 13 -9324.2 11.0 2.053
11 13 -9324.2 11.0 2.053
11 13 -9324.2 11.0 2.053
11 13 -9324.2 11.0 2.053
11 13 -9324.2 11.0 2.053
12 13 -9156.03 8.0 7.183
10 13 -8606.0 11.0 0.47
10 13 -8606.0 11.0 0.47
15 13 -10857.73 5.0 134.70000000000002
16 13 -11274.9 12.0 393.59999999999997
13 13 -9453.66 15.0 22626799200000.0
13 13 -9453.66 15.0 22626799200000.0
14 13 8271.29 6.0 -1.0
19 13 -12536.0 13.0 0.0319
19 13 -12536.0 13.0 0.0319
17 13 -11428.0 4.0 3.62
18 13 -11858.0 4.0 0.644
18 13 -11858.0 4.0 0.644
30 14 -22700.0 7.0 -1
30 14 -22700.0 7.0 -1
30 14 -22700.0 7.0 -1
30 14 -22700.0 7.0 -1
31 14 0.0 0.0 -1
12 14 -9165.93 19.0 2.2453
13 14 -9335.75 11.0 4.15
10 14 -9157.0 20.0 0.1405
10 14 -9157.0 20.0 0.1405
11 14 -9501.0 10.0 0.22
11 14 -9501.0 10.0 0.22
16 14 13514.2 3.0 -1.0
17 14 -10787.36 6.0 9441.6
14 14 11584.9 5.0 -1.0
15 14 12333.33 5.0 -1.0
18 14 -11482.7 4.0 4828312800.0
19 14 -12326.9 8.0 6.11
23 14 -13960.0 11.0 0.09
23 14 -13960.0 11.0 0.09
23 14 -13960.0 11.0 0.09
24 14 -14920.0 11.0 0.095
24 14 -14920.0 11.0 0.095
